,target_met_frac,no_budget_frac,avg_fine_period,fine_per_house,time_conv,profit_std
63,0.0,0.0,175.2,123.42970307092259,240.0,440.48037231988576
64,0.1,0.0,157.2,139.93847261004726,240.0,776.145751939016
65,0.1,0.0,164.4,64.5088126592495,66.0,403.43341149392114
66,0.0,0.0,175.2,242.05974222290143,146.0,400.05660372291885
67,0.0,0.0,160.8,32.24917377956124,240.0,781.8784210975899
68,0.0,0.0,171.6,216.42742792528483,240.0,670.7471103764058
69,0.0,0.0,175.2,17.03231732268525,240.0,837.6162660603369
70,0.0,0.0,146.4,149.6001890573869,227.0,422.67777200457397
71,0.0,0.0,153.6,54.98723076699385,240.0,738.6120408145955
72,0.0,0.0,150.0,44.25230275041053,211.0,523.0444954177163
73,0.0,0.0,164.4,301.0371642330157,240.0,381.78723750523284
74,1.0,0.3,160.8,172.993096626041,160.0,396.7920326903098
75,0.1,0.0,171.6,91.20446965880264,227.0,857.1035570707049
76,0.0,0.0,153.6,16.47722996444944,240.0,868.112129397373
77,0.0,0.0,153.6,35.725191104935156,240.0,628.8034588446058
78,0.2,0.0,164.4,53.172895705959256,240.0,832.8103363404273
79,0.0,0.0,178.8,124.54787762588171,124.0,1042.760628833918
80,0.0,0.0,160.8,113.7727118266324,240.0,734.1705360513322
81,0.0,0.0,175.2,19.22790705062777,240.0,1064.0985148341465
82,0.0,0.0,164.4,124.46147143246594,200.0,745.1301890380104
83,0.0,0.0,171.6,35.39170958279309,160.0,884.3164083646016
84,0.0,0.0,164.4,54.67042182144678,240.0,617.5170967657275
85,0.0,0.0,146.4,13.381153923177418,240.0,878.4047343365546
86,0.2,0.0,186.0,74.89770967550658,240.0,299.66818478030984
87,0.0,0.0,160.8,169.12663971312875,240.0,519.5269632967951
88,0.0,0.0,160.8,48.16293392110608,240.0,953.6793001444023
89,0.0,0.0,160.8,168.94864513736755,173.0,407.9450561564569
90,0.0,0.0,164.4,25.84011119525845,160.0,888.5948570374866
91,0.0,0.0,160.8,35.25431429028847,240.0,907.5255246431759
92,0.0,0.0,160.8,232.24215257223733,200.0,329.63741925932095
93,0.0,0.0,196.8,222.11957156677414,240.0,547.081605101964
94,0.0,0.0,157.2,132.63583659897463,240.0,433.4145336523461
95,0.0,0.0,142.8,104.16046288002563,173.0,438.07564819711035
96,0.0,0.0,157.2,339.7347850032542,240.0,781.9842473419341
97,0.0,0.0,160.8,36.8747339333286,200.0,881.7499766936363
98,0.0,0.0,168.0,26.748518139810013,197.0,933.819443493864
99,0.0,0.0,178.8,147.60347470843863,240.0,849.2873777624305
100,0.0,0.0,171.6,23.740800166405336,173.0,752.0189866049135
101,0.0,0.0,135.6,157.34903829910903,240.0,695.3615109001373
102,0.0,0.0,153.6,119.50552381410476,143.0,509.24271739816834
103,0.0,0.0,157.2,128.20073315590548,213.0,514.4122265993036
104,0.0,0.0,171.6,175.4923298310569,227.0,481.9677571212408
105,0.1,0.0,168.0,197.2093717627488,240.0,798.5874668998445
106,0.2,0.0,153.6,45.10909421270252,240.0,664.149500078347
107,0.0,0.0,193.2,56.615990484080974,240.0,714.5296997063098
108,0.0,0.0,175.2,58.91288607401973,240.0,573.3790628438733
109,0.0,0.0,150.0,127.01497239185612,240.0,718.9234481564501
110,0.3,0.0,150.0,93.23719574492577,225.0,1004.450670124989
111,0.0,0.0,150.0,20.44405640080862,211.0,601.9012108681038
112,0.0,0.0,204.0,100.24273107277322,93.0,478.2646823455312
113,0.4,0.0,164.4,91.48286211026036,143.0,878.1000686909392
114,0.0,0.0,150.0,75.82675827879181,133.0,587.7547196122354
115,0.0,0.0,164.4,354.76103060764916,160.0,653.7249465113774
116,0.0,0.0,153.6,34.386235475539536,240.0,1250.556742454989
117,0.0,0.0,171.6,183.78823047809314,173.0,229.3416003624162
118,0.0,0.0,153.6,5.5742447129909385,240.0,1058.0921379664726
119,0.2,0.0,171.6,88.90606219802521,213.0,1251.5760839590332
120,0.0,0.0,164.4,79.7909278600362,240.0,695.3746564323842
121,0.0,0.0,139.2,70.06365969703434,66.0,1112.9456549287336
122,0.0,0.0,175.2,235.82870993571888,93.0,224.25074223515145
123,0.5,0.0,157.2,133.4612885442578,240.0,689.4989247226538
124,0.0,0.0,186.0,230.89579340990082,227.0,551.5369674377887
